time,steps,distance,calories
1739796720,64,38,2.56
1739796660,79,47,3.1599998
1739796600,90,54,3.6
1739796540,72,43,2.8799999
1739796300,83,49,3.32
1739796240,99,59,3.9599998
1739796180,100,60,4.0
1739796120,78,46,3.12
1739796060,56,33,2.24
1739795940,22,13,0.88
1739795460,87,52,3.48
1739795340,21,12,0.84000003
1739793540,28,16,1.12
1739793480,75,45,3.0
1739793360,59,35,2.36
1739793300,97,58,3.8799999
1739793240,55,33,2.2
1739792880,59,35,2.36
1739792820,89,53,3.56
1739792760,53,31,2.12
1739792700,90,54,3.6
1739792640,106,63,4.24
1739792580,96,57,3.84
1739792520,81,48,3.24
1739792460,4,2,0.16
1739790540,46,27,1.8399999
1739790480,40,24,1.5999999
1739790420,50,29,2.0
1739790360,28,16,1.12
1739788740,2,1,0.08
1739788680,27,16,1.0799999
1739788500,81,48,3.24
1739788440,67,39,2.6799998
1739788380,74,44,2.96
1739788320,83,49,3.32
1739784960,59,35,2.36
1739784900,93,55,3.72
1739784840,103,61,4.12
1739784780,108,64,4.3199997
1739784720,19,11,0.76
1739784660,68,40,2.72
1739784600,102,61,4.08
1739784540,97,58,3.8799999
1739784480,100,60,4.0
1739784420,11,6,0.44
1739780700,7,4,0.28
1739780640,80,48,3.1999998
1739780580,104,62,4.16
1739780520,110,66,4.4
1739780460,73,43,2.9199998
1739780400,110,65,4.4
1739780340,112,67,4.48
1739780160,68,40,2.72
1739780100,44,26,1.76
1739779920,74,44,2.96
1739779860,95,57,3.8
1739779800,67,40,2.6799998
1739779200,13,7,0.52
1739779140,18,10,0.71999997
1739778420,21,12,0.84
1739776260,44,26,1.76
1739776140,14,8,0.56
1739742180,14,8,0.56
1739742000,21,12,0.84
1739739540,19,11,0.76
1739739420,12,7,0.48
1739735760,28,16,1.12
1739735700,38,22,1.52
1739734740,14,8,0.56
1739733660,30,18,1.1999999
1739730180,15,9,0.59999996
1739730060,37,22,1.48
1739730000,4,2,0.16
1739729880,25,15,1.0
1739728680,16,9,0.64
1739728560,48,28,1.92
1739727960,83,49,3.32
