calories,distance,end_time,start_time,steps,type
4,117,1739391240,1739391000,175,walking
18,423,1739386140,1739385780,619,walking
34,1158,1739385720,1739384700,1520,running
8,267,1739384640,1739384340,384,walking
8,212,1739381220,1739380800,312,walking
12,290,1739379900,1739378880,414,cycling
3,47,1739309880,1739308980,70,cycling
7,72,1739301180,1739298600,108,cycling
34,998,1739290980,1739289960,1469,walking
13,196,1739256420,1739254500,292,cycling
4,117,1739217900,1739217600,175,walking
8,151,1739214120,1739213100,225,cycling
6,193,1739212140,1739211840,287,walking
13,457,1739211660,1739211300,609,running
7,219,1739208900,1739208480,326,walking
21,634,1739196960,1739196060,917,walking
16,542,1739191620,1739191020,791,walking
4,84,1739188620,1739187900,126,cycling
6,195,1739178000,1739177760,290,walking
4,65,1739175120,1739174580,97,walking
12,149,1739101440,1739100120,222,cycling
12,137,1739015460,1739013600,204,cycling
10,237,1738956000,1738955700,353,walking
15,457,1738952340,1738951740,651,walking
6,171,1738950360,1738950000,227,walking
17,507,1738944240,1738943520,736,walking
39,1263,1738935060,1738934040,1677,walking
16,586,1738933020,1738932540,799,walking
27,839,1738929000,1738928220,1070,running
4,184,1738927380,1738927140,265,walking
17,561,1738919220,1738918680,784,walking
21,654,1738917420,1738916820,868,walking
14,244,1738915380,1738914240,363,cycling
7,97,1738870920,1738869840,145,cycling
8,110,1738865280,1738864200,164,cycling
11,297,1738864140,1738863420,442,walking
4,148,1738863000,1738862760,221,walking
11,345,1738848840,1738848540,475,walking
8,312,1738847940,1738847700,438,walking
7,205,1738777920,1738777680,297,walking
9,272,1738774440,1738774080,378,walking
12,382,1738762380,1738762140,488,walking
7,315,1738760880,1738760640,431,walking
9,288,1738740720,1738740480,367,walking
5,68,1738703400,1738702380,102,cycling
3,41,1738699920,1738699500,62,cycling
5,90,1738695300,1738694640,134,walking
12,350,1738675860,1738675500,471,walking
8,330,1738674900,1738674660,446,walking
5,113,1738654140,1738653240,169,cycling
10,104,1738616820,1738614240,156,cycling
4,152,1738611960,1738611720,226,walking
19,622,1738602480,1738601820,888,walking
15,488,1738592160,1738591560,714,walking
31,966,1738586520,1738585020,1417,walking
15,556,1738582320,1738581720,795,walking
15,516,1738573800,1738573260,750,walking
16,566,1738570800,1738570260,781,walking
10,168,1738567860,1738566180,250,cycling
3,88,1738510980,1738510740,131,walking
6,116,1738510440,1738509360,173,cycling
22,691,1738509240,1738508520,993,walking
48,1592,1738508160,1738506600,2212,walking
4,81,1738431900,1738431600,121,walking
7,64,1738415940,1738414860,96,cycling
4,67,1738413780,1738412940,101,cycling
4,80,1738404900,1738404540,119,walking
4,84,1738396980,1738396740,125,walking
5,111,1738348500,1738348080,165,walking
9,226,1738347120,1738346160,295,cycling
19,530,1738328280,1738327680,765,walking
20,612,1738321200,1738320600,844,walking
23,677,1738311480,1738310580,909,walking
17,195,1738307520,1738305300,290,cycling
6,86,1738269240,1738267980,129,cycling
4,75,1738266600,1738266240,112,walking
40,1144,1738258440,1738257060,1661,walking
11,386,1738243980,1738243620,541,walking
11,374,1738239120,1738238760,528,walking
10,292,1738170900,1738170660,403,walking
9,332,1738157520,1738157280,447,walking
8,332,1738156620,1738156380,439,walking
13,429,1738086540,1738085940,638,walking
3,41,1738084680,1738084440,61,walking
12,428,1738083900,1738083660,544,running
4,137,1738081680,1738081380,204,walking
10,143,1738049580,1738047240,214,cycling
3,60,1738008240,1738008000,90,walking
6,146,1738007040,1738006440,217,cycling
9,180,1738001520,1738000680,269,cycling
19,604,1737994800,1737994200,843,walking
23,757,1737990120,1737989220,1107,walking
